Subj,Condition,Lesson1.Pre,Lesson1.Post,Lesson2.Pre,Lesson2.Post,DeviceOrderC,SystemOrderC,SystemDeviceC,Lesson1,Lesson2,PCLesson,VRLesson,VisualLesson,AuditoryLesson
72,3DA2DV,7.25,7,8.5,14.5,1,1,0,-0.25,6,6,-0.25,6,-0.25
76,3DA2DV,7.75,13.66666667,15,18,1,1,0,5.91666667,3,3,5.91666667,3,5.91666667
80,3DA2DV,9.333333333,12.75,10.5,16,1,1,0,3.416666667,5.5,5.5,3.416666667,5.5,3.416666667
84,3DA2DV,9.333333333,14.25,10,18,1,1,0,4.916666667,8,8,4.916666667,8,4.916666667
88,3DA2DV,2.666666667,6.916666667,3,14.5,1,1,0,4.25,11.5,11.5,4.25,11.5,4.25
92,3DA2DV,5.916666667,8.166666667,11.25,14,1,1,0,2.25,2.75,2.75,2.25,2.75,2.25
96,3DA2DV,5.833333333,11,14.5,12,1,1,0,5.166666667,-2.5,-2.5,5.166666667,-2.5,5.166666667
100,3DA2DV,4,4,3.875,6,1,1,0,0,2.125,2.125,0,2.125,0
104,3DA2DV,6.5,14.66666667,10.5,18,1,1,0,8.16666667,7.5,7.5,8.16666667,7.5,8.16666667
108,3DA2DV,7.333333333,9.5,8.25,16.5,1,1,0,2.166666667,8.25,8.25,2.166666667,8.25,2.166666667
112,3DA2DV,4.5,5,8.25,6,1,1,0,0.5,-2.25,-2.25,0.5,-2.25,0.5
116,3DA2DV,3.25,14.5,3,16,1,1,0,11.25,13,13,11.25,13,11.25
120,3DA2DV,5.833333333,9.416666669,13,16,1,1,0,3.583333336,3,3,3.583333336,3,3.583333336
124,3DA2DV,5.666666667,7.416666667,13,17,1,1,0,1.75,4,4,1.75,4,1.75
128,3DA2DV,4.666666667,9.083333334,7,10.5,1,1,0,4.416666667,3.5,3.5,4.416666667,3.5,4.416666667
