Subj,AweInspiring.VR,Aesthetically.VR,Enjoy.VR,OwnStudies.VR,RecLearn.VR,RecFun.VR,EaseControl.VR,AveEnjoy.VR,AweInspiring.PC,Aesthetically.PC,Enjoy.PC,OwnStudies.PC,RecLearn.PC,RecFun.PC,EaseControl.PC,AveEnjoy.PC
92,6,7,6,7,7,5,7,6.333333333,6,7,6,7,7,5,7,6.333333333
93,6,6,6,6,6,4,6,5.666666667,4,4,4,3,4,4,6,3.833333333
94,7,7,7,7,7,7,7,7,1,2,1,1,4,1,7,1.666666667
95,7,7,7,6,7,7,7,6.833333333,3,3,2,3,3,1,5,2.5
97,7,7,6,7,7,5,6,6.5,3,4,4,5,6,3,3,4.166666667
98,6,7,7,7,7,6,6,6.666666667,2,2,2,3,2,1,3,2
99,4,4,3,4,3,1,7,3.166666667,3,1,1,4,1,1,7,1.833333333
100,6,6,7,7,7,7,6,6.666666667,2,2,3,3,2,1,3,2.166666667
101,5,6,6,6,7,5,6,5.833333333,2,2,3,4,5,3,7,3.166666667
102,7,6,7,7,7,7,7,6.833333333,4,5,5,7,6,5,7,5.333333333
103,6,6,6,7,7,7,7,6.5,1,4,1,3,3,1,7,2.166666667
104,6,7,6,6,7,7,7,6.5,5,6,6,6,7,5,7,5.833333333
105,5,3,6,6,6,2,4,4.666666667,3,3,3,6,6,2,4,3.833333333
108,6,7,7,5,7,7,7,6.5,6,7,7,5,6,5,7,6
109,3,3,4,6,5,2,7,3.833333333,3,3,4,6,4,2,7,3.666666667
110,5,4,5,4,6,4,1,4.666666667,3,2,3,4,3,2,1,2.833333333
112,7,5,6,4,7,5,6,5.666666667,4,3,3,2,5,2,6,3.166666667
113,7,6,6,5,7,7,7,6.333333333,5,5,4,5,6,4,7,4.833333333
114,6,5,6,7,7,3,7,5.666666667,4,5,6,7,7,3,7,5.333333333
115,6,5,7,6,5,7,4,6,2,2,2,3,2,3,5,2.333333333
116,7,7,7,7,7,7,7,7,4,7,5,4,6,1,5,4.5
117,7,7,6,6,7,7,7,6.666666667,7,7,6,6,6,6,7,6.333333333
119,7,7,5,7,7,7,7,6.666666667,1,1,1,1,1,1,1,1
120,5,6,5,4,6,7,4,5.5,2,2,1,4,1,1,7,1.833333333
121,7,6,7,7,7,7,7,6.833333333,4,3,4,3,4,3,6,3.5
122,7,7,7,7,7,6,7,6.833333333,3,5,4,3,3,1,5,3.166666667
123,7,7,7,7,7,7,7,7,1,3,5,5,6,3,7,3.833333333
124,7,7,7,7,7,3,7,6.333333333,4,4,3,5,5,1,7,3.666666667
126,7,7,7,7,7,7,7,7,5,6,6,6,5,4,4,5.333333333
127,2,5,5,5,5,2,7,4,2,5,5,5,5,2,7,4
128,7,7,7,7,7,7,7,7,5,5,5,5,5,3,7,4.666666667
4,5,6,6,7,6,6,6,6,4,5,5,6,5,5,5,5
